"id","cnt"
366,2001.01474345836
367,1507.53590766002
368,1495.86877476637
369,1383.61955043824
370,1922.76672553786
371,2475.45866774996
372,2780.41958490873
373,2132.68352275288
374,1599.99279831841
375,1936.98807144914
376,1544.13237275623
377,2060.08579902148
378,1854.01283720198
379,1227.73494308525
380,984.05605612587
381,1059.66759848801
382,1978.07219809421
383,2059.8074393769
384,1487.07573303506
385,1734.8120247953
386,671.753250550538
387,492.100498934993
388,1343.22744711877
389,1835.91500565625
390,1932.33635080673
391,2260.96264431413
392,2032.94511117327
393,2019.28370950599
394,1695.65863810728
395,1880.32843500638
396,2892.60082852475
397,3393.18152428597
398,2468.85259427773
399,2259.72064168402
400,1477.7131007224
401,1218.64306007821
402,1935.1320108882
403,2688.09866061495
404,1780.16090416708
405,1846.02306234746
406,2192.86374462479
407,953.733078222178
408,1108.36424544492
409,1759.55533139566
410,2353.30914791948
411,2542.22596505006
412,2142.4768881998
413,2214.36047910821
414,2369.26672978078
415,1349.69721552296
416,1533.65169911848
417,1941.85313842954
418,2667.69805411821
419,3158.70795701087
420,2105.9376401427
421,1573.94186631632
422,1681.9610801885
423,2317.98353751222
424,2658.4156721745
425,1933.59672585782
426,3146.53139455922
427,2332.63369433108
428,2661.60851941053
429,1846.17646595536
430,1644.32731983712
431,1885.36332234065
432,2584.11224442521
433,3219.57640037204
434,2379.63119369529
435,1910.84238214946
436,2215.43145195598
437,2988.32333093142
438,3527.21994412258
439,3820.87449159407
440,3614.91218148954
441,2641.95425828464
442,3453.44866328602
443,2883.63312749998
444,3212.65466308001
445,3311.83031287948
446,3593.85828808142
447,3650.13026613271
448,4090.28898729898
449,3334.96041039387
450,2626.6196673767
451,3190.50508662137
452,2682.05575981595
453,3692.37820877316
454,3941.11834143232
455,2955.99109419705
456,2858.43727843491
457,2960.2485807224
458,3517.73844410763
459,3805.17292166162
460,4358.17260106515
461,3761.51082884551
462,3636.67484128376
463,3628.49444854746
464,4032.73296556769
465,3762.88589866301
466,3926.23215128102
467,2942.76023171813
468,3533.93304094817
469,3906.30031206815
470,4329.017801363
471,4694.96783406824
472,4177.47452768655
473,4768.02245117248
474,3418.20578893215
475,3722.20732640711
476,4018.83455620411
477,4175.54966717313
478,2067.56500073622
479,1823.65140811237
480,3645.55720970448
481,3907.44639466764
482,3328.81100080416
483,3931.69683734783
484,3064.28959306825
485,3703.88906729522
486,3428.74474287478
487,4804.45558278869
488,4354.51375010369
489,4421.2587545673
490,4844.97354371213
491,4918.42405084139
492,4637.50382083521
493,4186.45937570972
494,4424.15157725093
495,4190.58145845454
